Majority protein IDs,Gene Name,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
P19097,FAS2,82452.2702052395,79779.5230093023,84618.6320240552,118520.675453013,117488.90539883,117159.998068073,138977.483254823,144138.512881005,136448.177116485,125723.212445092,148611.029865766,162258.215666795,76841.6911169325,102978.651078049,105007.344579243,83597.9271009969,90792.7226728551,91209.571471329,85063.315644821,93305.6936022284,88758.8540700255,78471.5249575693,81948.0731911837,72495.5894922557,62546.099163622,56921.7250420147,74664.0843768664
Q00955,ACC1,80980.0394011414,79181.5362460259,83903.3350614053,86035.2712253615,79691.7342252159,85331.0896549456,67574.9415518878,70916.743804982,68569.9414635532,55942.4054926998,66497.5593492973,69310.6268928468,34151.58947558,47097.6198270769,49286.9993227761,43879.9393978494,47422.0723604837,47966.7725707214,50902.4564120585,56970.8727517442,53373.6398928102,50524.8805876426,51603.9769678308,46927.9744795698,40988.6348010539,36394.3743439356,48429.0786101134
P07259,URA2,39354.8149395755,38889.6188521668,40467.6205230538,42649.7414637079,41779.5770495371,41948.5146581811,50886.0479844516,52430.9404343663,49829.5259811529,47359.1501409485,55812.3094830888,60319.1579256642,30892.430501237,43232.0798317145,44807.18261727,40583.4722028731,42159.664271967,44787.2723796827,42549.3458656912,52366.8071929053,44114.9598664133,52879.0383525919,53874.2185834333,50731.992628645,44877.2618591101,41946.0100331348,59242.8264902823
P07149,FAS1,70992.082651368,68074.7449782947,71888.2711671109,99290.3836297626,98498.1519488085,98328.4646667068,116102.009907514,121262.573677429,114972.152535727,104024.338018563,124851.211149608,135124.778379921,63434.2489461993,84290.5635939917,86999.9670832695,70125.9541372413,74303.7051900528,75095.9288126754,70537.8978122066,75996.2924506061,72702.2799438419,65449.8768763301,68052.0506908095,58567.9308102817,51500.3423847789,47162.4868797612,59724.9313303554
P06105,SCP160,15866.5631143188,15589.0456918201,16002.0051539273,17532.3475158781,16867.256546657,16872.1263521155,22262.6995129812,23154.8534374724,21791.4700267273,23585.2012954869,26497.2330037763,28712.6494852045,15929.363428572,22234.4269890909,22374.8104286731,23560.5627741711,24384.9231452643,25720.0212278489,25762.2560447351,28125.2092465099,25498.9546600487,30447.872840151,30838.1262698836,30499.993751163,28210.7919995304,23627.5677736929,35529.3499957093
P47169,MET5,20952.1442084336,20588.2092640763,21518.5598929158,29174.972240948,30060.2627559203,29814.2719907248,43192.7171099535,44949.8029570893,41975.9855018974,43433.0699601096,51852.0243064975,55842.7386622326,30819.3495330767,43928.1983858304,44102.1977819069,45505.715461046,47177.3441601448,50884.3363652075,51254.8324287209,56176.4214588456,52096.0575027955,57857.1757104517,57825.9770965426,54824.7137179514,49759.3169043825,44786.6981393683,67630.1133190441
Q05022,RRP5,4359.08455720311,4399.46201185307,4834.54431558968,5186.5955069731,5019.38489991718,5003.138123284,6902.53270776569,7178.12376494411,6948.74198577529,7284.7904302617,8959.53981860723,9264.53471012089,5201.3589413933,7387.6816972869,7948.39611772736,7988.34886179477,8230.42574189079,8949.37720061388,8330.40074492595,9116.09382138229,8722.48083512926,9738.56869841136,9737.30634005522,9376.21954283752,8640.70523705126,7961.23793945314,12122.5498220989
Q12680,GLT1,8772.1043377677,8700.5921561888,9114.97275469233,10594.7252393023,10897.7897699891,10735.9160429987,16892.6521804805,16655.128157078,15500.0053379154,16449.1177816067,19192.2610742413,21941.1544901509,11864.939808694,16189.9873495611,16170.7386289684,14590.4752158584,15467.56999448,15859.3494812694,15520.387863099,16450.1094828298,15998.1400300945,14898.9759676238,15061.7879999672,13748.9689764129,12113.0114403266,10721.9179740696,14904.9015799533
P38249,RPG1,17910.7260531105,17530.3112913084,18108.4478816851,19638.4615557819,19911.8207738648,19298.6784723211,25637.3816676022,26413.1476799587,24757.1593186801,27652.0305034262,31389.5095245763,33828.2286970793,19535.3913769448,28243.074194591,27503.4927211009,29337.4512693486,30590.6038389337,30950.5853394407,31630.9018599621,33464.1621750719,31737.4674455093,33811.9843706122,33925.2739023143,32175.1190058504,30208.4311453201,24924.0971411421,37231.4985449423
P22147,XRN1,4305.23716962295,3893.79995994454,4260.28928140033,4598.96922090814,4297.79533375899,4344.66314423229,5852.97732433357,6271.47353897457,5334.1177336793,5455.56675122843,5940.99046039169,6753.43717627508,3815.69578144924,5104.63788934455,5543.92639346122,4694.11943598148,5158.43680951614,5676.67567216771,5472.54491858255,5641.64672263822,5195.16075860602,5567.57042938333,5659.11269681002,5337.23243721812,5059.97054153347,4298.3495618144,5853.72254685301
