Majority protein IDs,Gene Name,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
P10964,RPA190,5329.55727605768,5125.20017851628,5359.67337723397,6075.15567052505,6111.15625055276,6081.6486121636,7999.91643594477,8279.46560868043,7408.35566737702,7855.53735036073,9260.94460154624,10105.9580202995,5675.12046214013,8078.4619476108,8028.02746603576,8051.66363434652,8541.28486817272,8670.67639532877,8786.25926220122,9753.14764859186,8915.402931094,9314.64611602601,9773.13263396267,9033.38316869935,8561.21693784639,7935.7639100703,11733.7509243418
Q03690,CLU1,13518.2221310323,13669.4128855684,13768.4958737063,15157.3633132996,14480.7391020547,14709.3901019784,23355.51615475,24317.6333305213,20979.5883628777,24799.3082060493,30664.3928952076,32015.4329306343,19014.2280171789,27958.7809851051,27618.7708982916,30408.4348184212,32367.5246211901,34081.0019925604,40596.2820391619,45626.4457209084,40233.5421980848,41183.86346348,42091.3644022022,38286.1215959269,34899.0508833453,29809.2724999136,42270.4788830496
P05694,MET6,140782.474845427,135204.962638695,141007.919139969,198847.096993501,202298.867072279,204050.111310119,342178.328527833,343748.984366357,319371.434374462,385869.970806098,433501.568841632,459200.576550535,269940.998466834,394241.577931984,383154.504956588,458219.433276694,462711.917526199,493244.676660171,549064.829609693,610468.453116289,552809.420462301,642455.162084658,628506.308655644,607484.115807308,554600.367217676,466988.791250111,698136.022815319
P31539,HSP104,378452.84221812,375739.055199543,366485.639135463,325833.090027685,300339.214917349,311642.763294996,195694.249865652,199267.678292731,209425.603383372,145514.289008224,146096.452291732,156575.192561951,54910.2331871431,58841.5189872399,58860.6781896605,37404.8452967185,38294.9715668252,36196.6244364606,33882.1768719479,39861.0185743358,34153.644221772,40379.4169671695,40319.524711105,37913.3975022759,34136.0000112503,26483.6770080182,37925.715318532
P32589,SSE1,180355.456257965,183836.227714236,181651.710115152,181905.90803942,171484.684968883,173356.371011273,167215.232305991,167780.650301439,158056.307149701,168751.083553251,190382.059842573,201771.960455456,107651.376054583,154065.473689409,146339.606041729,154570.043329497,166127.47921969,162702.518294213,164666.065250982,164920.049559243,165076.751178106,171551.018250128,168017.62107278,163140.895175368,152341.55990209,126969.124489528,190011.370820356
Q12019,MDN1,585.505685765495,621.962675097164,571.211522492849,646.042743008055,639.940863462994,628.586602456998,864.281519566218,712.848549164032,747.146596064115,600.939461900625,565.15263557668,872.840479059599,468.064899556171,720.751099070478,331.476348195735,748.985729407871,430.318303216235,639.56746688922,682.301323727793,474.465529194825,745.693555775498,467.886434937058,683.123959615159,644.857895946726,395.415854314445,494.455163642548,548.628260746198
P08566,ARO1,13779.9641148284,13059.8175681978,13274.8528428237,15796.4440649412,15648.3930696945,15240.6257111244,18812.9891060754,19210.84495802,17528.4485436575,18323.5650010717,19806.7557012463,22791.3998672411,11575.0310882129,14792.5114879069,15116.1756891788,13820.5536080635,14718.3843484233,15419.2748258551,16420.771471182,18457.488472054,16902.5587270096,18303.7971788134,18020.5854251295,17438.4711700299,15242.8398878279,13898.6516283949,20014.1905781967
P22137,CHC1,18735.4512400145,18373.4778077697,19373.8930524052,19206.1425702715,18038.5751845502,19166.0863325853,19709.0618877057,19918.4518864977,18496.63317745,17404.9018367784,20445.4368648607,22303.0996751384,11426.028951115,15203.6188724574,15922.3923357597,13914.8246702466,14660.9539410616,15249.8703090652,13578.568845812,15241.6371717935,14158.1630117188,13558.4801764231,14276.5991213871,12951.4175087093,10963.9075704876,9872.63975841795,12284.5409333552
P16521,YEF3,74638.2771619163,70167.4092494498,75141.4484932703,91540.7001301766,90517.6881550844,100380.645427962,171439.289799953,168255.59898052,160589.359648233,183769.500084086,219734.354617921,245349.794790027,139530.473061447,207173.539774572,208217.431567771,227487.819643416,240112.979757333,238960.010149642,252313.352950447,287210.502661554,257015.083280683,326446.029291636,317599.311327703,314174.170391277,289835.771512901,255630.836371988,389851.674184067
P33416,HSP78,75650.8740322831,76178.3602087458,73131.7741702277,67874.1672664175,63109.5555452776,66059.9042801759,48372.8543068031,49943.1348705766,50331.3117233548,39594.2167159279,40900.1271722411,44230.3667472216,20669.2560651177,26433.7839183868,26383.4225966778,23028.5250470814,23917.2638351978,23148.3632589407,21705.9820106737,24609.6050521369,21879.94238511,21074.5070162477,21346.2644134782,19961.463187675,16585.4849174358,12535.3336005747,17380.7484182925
P07806-2:P07806,VAS1,23822.4464457569,23039.9875871502,23700.1933326256,27387.2919744673,26438.2395297824,27297.8112754073,36100.4590580525,37568.2914281652,34781.0234533905,34268.2276790139,41454.2775139041,44523.7662814562,24254.8386221822,33183.1531776125,33067.9114908228,31595.7071106608,34447.6456704707,34686.7328734423,35798.4717957654,40607.617994629,37637.1421308484,41925.722872446,43111.000360651,40161.5133864048,36591.5995954847,34607.5973252817,48151.7566653485
P36775,PIM1,7402.57681185829,7527.83047788701,7565.55025995364,7282.2042607483,7323.9596902497,7280.76758191243,8972.03916021147,9295.1610099921,8285.41169747594,8989.55979971245,10255.4537181956,10855.0820444682,6462.38036548529,9333.34627709676,8923.10331484309,9433.09389557513,10081.2110085792,9952.58947257289,10869.6583823507,12432.2442705492,11701.2853039555,11877.5112423429,11929.9225382767,11718.7679593235,10464.99929528,8202.02208346484,11642.0384484344
P39692,MET10,9036.82259223455,8908.19967785497,9557.00062973997,14214.4710587089,14891.5335426106,14611.0945650957,26053.1814793461,26933.8772979576,23862.6700192646,27520.9671015349,32564.0936613025,35816.7656347027,20039.6210164273,28957.8453480492,28769.9067414138,29949.4727252584,31474.5003677789,32753.7498001173,34338.0984285873,37217.250608582,33830.2407335799,37138.3670919314,37346.586020797,35164.6835141564,33304.1021898511,29742.804837879,43776.837126861
P07702,LYS2,10188.1564458184,10114.4223905769,10457.2847074777,12627.291458202,12166.472050912,12629.6361437353,16201.598622293,16690.0561317667,15347.5148803768,14170.702063472,16584.1886088512,18447.6439192575,8756.97433497804,11556.3230619977,11589.2791071388,10200.8103936397,11015.3099197643,10965.6877493016,11044.9372219692,13057.4775268183,11610.558868616,15116.3224010155,15713.4175930848,14827.0912177507,14241.0736947433,13991.764757267,20852.501760387
P17255,VMA1,41338.0242883845,38507.7811468419,41602.2778160108,39524.7291275273,41373.0846579684,39999.4469374774,49705.3895149728,50417.4445400302,47828.6693223763,52760.3793217229,55430.8821008532,59197.6567375412,34994.0948244855,49756.1212980053,47172.4216536958,49585.6188593081,51147.6898020888,51164.3047983,47965.614501548,53446.9939757735,49161.3568526432,59710.3444776122,58784.3567540222,56889.6580405436,54044.0081432601,43456.4871435343,67043.7544881271
P19524,MYO2,1871.99465810165,1824.94433659219,1737.96879086482,1968.55483628838,1807.51740055445,1976.26813039583,2735.04556726004,2725.55170532085,2450.60134620439,2438.88941253677,2863.23001480198,2967.32320355667,1615.00667792986,2378.78096361704,2395.0611722994,2369.25676874994,2424.35045736606,2693.96465703368,2411.1869864132,2560.04513652868,2557.00344581719,2568.12280126061,2676.84188563284,2380.65465437539,2181.81249480541,2082.65851692195,2717.40134645889
P40825-2:P40825,ALA1,17948.8445819731,17266.4231049837,18591.4197050244,21269.8909075173,21485.1467050202,21478.1272319932,28782.1098279978,29843.6007924689,27936.2727928987,30030.3585282665,34272.659787544,36942.1660640274,21173.353936558,29935.3142795276,29164.0760998227,30594.263604849,32090.7820863582,31578.2065705708,32453.7689964141,36076.6452070833,32465.8038278451,37829.477341982,37331.6867398131,35830.0816665453,32903.9404309046,27677.8569836112,40558.3215359821
P07245,ADE3,27346.354744506,26205.3528960361,28459.6017777721,32511.6302777754,34344.5932536587,33644.6043189588,49261.7011782703,51685.5908143598,47048.2803779231,51581.0079896128,60039.4471183408,63359.8172614212,35229.8071496302,49965.9680935566,48568.5746161381,49975.5554058303,54067.1210861605,53750.3911833775,54389.854964258,58718.4523587865,54683.8538768474,60586.5320254116,61276.4503228633,59898.3575819549,56806.1951540364,48296.8165832404,76946.912819082
P26637,CDC60,19282.3510741428,19334.6431099269,19680.3328315476,20926.3161560501,20195.0936403412,20534.5068338316,26447.9228317488,28199.6530753623,25757.5960350049,26772.6050442584,30914.3276931976,32356.5864101734,18397.7556670955,26203.2450822541,26656.5776606857,27479.5274772,27580.1756482483,29744.0402584968,29386.263581168,33007.8421176609,29198.0537531653,36781.0894289109,36464.1122117892,35200.6615508705,33056.3254800531,29222.0528756438,45943.9176568166
P09436,ILS1,16792.5727452147,15836.2990181319,16356.9954168212,18845.2015269931,18037.188130367,18454.5903142822,23956.1850852156,24405.9563923508,22863.4437812736,21935.5909020209,27263.7301059283,28657.8775733399,14862.1312413325,20814.0771002527,20134.4725363411,18810.5042632076,20459.6652071504,20681.81641474,20649.7165167393,24254.6788475083,21439.8119511814,26188.2278362488,26257.4485037875,24657.3273065253,22714.7941686549,22098.61328233,32965.5532731066
P32454,APE2,23591.6591483138,22559.5925576764,23553.8721468498,21445.8029628058,19696.5002084967,21960.3242777412,20422.7127307581,20628.9201720132,19771.2900439552,17732.1990969141,20511.9409999222,23014.4095652276,11523.2763842181,14266.7218149134,15031.3941622529,12583.2582542831,12825.2433718699,13878.3284812395,12242.6263751888,11572.8644820403,12347.8050622382,11350.0175773462,10911.5452095249,9898.25948783552,9618.76872446433,7564.72091966101,11602.2327013063
P22515,UBA1,26459.9441639473,25986.5821379868,27187.3161528736,28782.4470430301,28557.1683443567,28431.48260612,32707.6855733742,32486.4449037032,30611.5396952025,30955.1659278998,34316.6121514173,36952.515997352,19549.9194814144,26084.4168431944,28051.1537897286,25309.7813354185,26247.3904201551,27048.0809196052,25136.665226653,26785.182159746,24753.7035405369,27824.7280942088,27526.4856700051,26798.7917401626,24112.3464062025,19353.8799608723,30657.7107997357
Q02207,FOX2,51606.4547758854,56511.5158735281,52386.0659443768,57096.3262970945,57050.3942132217,57672.1902941142,42868.239648019,46739.7038715673,41068.1190412817,37744.0959437502,39973.7565528666,44222.7360212929,22622.4384480151,30696.6879411933,29661.6600744984,25537.5448243457,26915.2061267792,26514.5224812058,19148.9587152623,10017.1953531581,19200.3692438808,3745.9489221282,4160.9543070519,3210.53668633897,2116.54347377733,1207.77462122047,1331.01934680986
Q05050,EIS1,21150.3057876911,22039.2022879844,22874.2947828179,24307.0447771563,21790.0215413484,23823.2596178884,21417.55519778,19504.4521479865,21192.0793769826,19078.8283999334,17754.2811428246,21627.3684079351,10188.484128861,13067.0491469996,13958.7169415233,11626.1382785058,12252.7743934372,12158.5443642234,9566.60992937659,9726.06835012588,10126.1496471038,9582.50136395846,9491.97227362187,9308.31273446761,8061.37058697886,6097.82952922599,7908.28753617454
Q08972,NEW1,7117.89883665513,7002.28796725104,7395.42751729436,7562.85277569334,7298.47972478978,7249.02997176421,8437.43587709827,8453.84264595084,7859.49553160987,8030.54477954883,9275.09586753122,9701.14473379476,5660.67622505764,7771.41022901273,7508.78540463296,7695.46298529452,8253.08826721892,8722.28194339922,8492.76094492435,9863.78422760609,8485.56967447356,11953.7742602652,11825.6912451067,11526.6312603113,11244.2151000508,10040.1436918988,16181.8810039768
P15108,HSC82,469677.122562031,469251.446848325,491394.302132292,437620.440152169,418994.281732405,417948.520443943,362891.251555455,364592.341709543,356527.04732502,352530.450057881,389885.902620653,440743.387350492,220877.764198508,302643.910526298,307211.464228703,324765.332247428,321524.503878853,346453.850059768,329644.678443905,318189.663983667,323676.423801906,331026.050788445,312164.981808071,319908.910207859,295665.873743639,230486.004754169,372834.859478273
P32324,EFT1,214726.0918411,214464.285618591,218610.10380023,222596.605340356,217058.320839465,207614.284455234,250694.328782185,259059.696331288,238942.243201473,265912.050070405,309225.419825647,325107.092263714,178776.872858174,254935.468600122,247753.730273013,259451.015661463,277264.605387882,278398.797520278,307969.907345258,354363.897897649,304681.405573881,367749.788734023,377218.886783203,356404.553479297,338224.09444042,286866.534101002,408888.213094876
P33892,GCN1,2241.9985667699,2463.05399578812,2340.5182167015,2735.33162246378,2426.18220881589,2444.86591642102,3301.96258130283,3406.70278754268,3216.87261204071,3068.9381737448,3503.79804985295,4550.84370387473,2262.59958877078,2936.20116520153,3361.12164291506,2783.42759291468,2691.92912357342,3248.22988068279,2939.80360417614,3425.94783616188,2991.58642235896,3308.89947770707,3569.36989056617,3393.14909043308,3089.32157756423,2551.76101256726,3875.11577229517
Q02455,MLP1,2423.45566957213,2345.27236936547,2706.23923663076,2879.42234154216,2785.07182845445,2673.77954061885,3121.86878461149,3379.74841148074,3235.9203953825,3667.89227165766,5281.89199662307,5329.7905780999,2235.51479546637,2208.29854467763,3042.26879675678,2294.08420349514,2628.74216973998,2819.31085711897,2037.74279898182,2288.84579726606,2032.70078321282,2480.59862850984,1990.99123476398,2588.83450517637,2052.76185741956,1722.5295674729,2357.50616315242
P10592,SSA2,148891.736916263,154642.929480604,156731.624009642,154536.198871419,145300.294800507,151678.846051304,122706.489789655,125363.90377442,128097.930556388,113275.186187366,121082.538752239,129104.171890142,65751.2586618607,88971.0761925846,83994.6343993441,83925.1647754557,85832.5400370823,87432.214756157,84610.4171023815,90709.0838899201,86260.0344370311,95015.3144772333,94341.3778875501,92463.9695850188,84945.468324297,69212.2087872418,103569.594824246
P16861,PFK1,55652.0617134447,58440.3718762609,56756.9974849496,57049.9816910773,55232.3860379138,55823.3280380074,55216.2194358322,57074.3057045479,55349.541788709,53163.3023116065,60584.0935599902,65373.5255234062,34804.0564480635,48849.8769791594,48972.0450360828,49800.199999503,52126.8489503799,53638.0242850308,55463.0493882546,62601.9340276875,56194.4729029559,62224.1892094567,62226.9465141176,59984.6822677552,54828.5125775748,46018.9586424436,69447.2034482187
P46655,GUS1,40534.6145546077,39767.6606189026,40938.8034571752,43269.7117547758,43968.5538386561,44588.8960482358,53552.7378931223,55060.6316238611,52146.8886071913,56993.0692529688,65959.8413107867,67701.3435417852,41140.021109463,60519.3921908521,57887.1568691309,63228.295359832,64548.0305964371,65052.842388331,62824.4147627659,69770.3612018461,63572.5692674975,73292.4655266502,71797.8161279413,69188.7483214978,63422.131365247,51900.9517546194,77367.3982250843
Q07653,HBT1,14256.0207735419,15145.1745373103,14262.9693061111,13261.6829281121,11736.3102783308,13686.2631654391,9138.96346928986,9968.1015922432,10247.3519931381,6882.25157039781,6175.12815369333,6872.93147850072,1641.29288138043,1196.64718919609,1437.85379272617,808.825308203153,1211.56983604366,1238.36955641171,1018.23676773702,947.825519362973,1082.26511068832,594.392252848069,1198.77792548766,2583.42155062654,887.117628232082,679.968901108595,1777.29700704737
P10591,SSA1,1287478.25545542,1344123.64509997,1395283.76476121,1466058.58180324,1317326.94122317,1230766.61096533,1025548.80831857,1061840.15233691,1036554.22249572,914138.708186139,937374.50156217,1019009.01281949,495782.419716421,629292.673492572,625947.91983766,524762.167406727,564530.061197117,509872.840939082,486481.612297939,536893.491816219,500961.927888249,484724.654577138,489498.517473108,453877.891999572,387484.325030314,289673.228531841,373600.294608211
P15705,STI1,233936.940722473,247763.756446944,241837.082457953,221267.741016295,204911.189228886,212717.792652263,146629.461312829,149646.416520346,149404.90667662,128356.097825164,133684.583115191,139513.306334102,63626.4964667711,88797.7832744717,84143.1853971353,80700.9329345702,84816.6766776153,83047.2472977275,80787.7023226495,74673.0086365384,79936.7255385834,70978.2442007395,70411.4459249286,67384.0262482362,62162.0083861938,50361.5108779363,74857.9925087701
P38972,ADE6,19247.7581926685,19283.8226060336,19371.4819948209,22314.2539285228,21928.5580970359,23312.713864382,28171.1637387394,28637.8637781576,26065.7737993211,28185.9534374532,33373.1362946996,35920.7256581095,18838.0933644343,26472.8127101421,26402.4942865219,26702.7136098938,28515.9052763194,30537.6014844673,30160.4219454584,33986.5877788381,30786.1335144545,33591.4291018091,32094.3700810285,31342.0717503338,28371.3014688744,26421.7471617746,40405.3952000092
P39730,FUN12,13842.4299919748,13837.6502270963,14032.3664415162,14804.0153029999,14712.3541394312,14296.0838162027,19889.2901902185,20381.0260168927,18044.0488643423,20601.6366117134,25064.7248693006,25827.1453696352,15009.3751296184,22245.837853406,20688.762079226,22156.8621848706,24511.3171273836,24496.8538269068,25182.147592801,25884.8754815901,25572.3677865418,26310.2663027303,26935.0876134956,25822.1138119734,24598.0491850087,20298.9350030059,30117.6476730689
Q00402,NUM1,2609.64058068198,2510.81685025176,2679.15904316345,2969.94908584827,2622.73455256201,2669.45172210979,3083.30129407114,3045.63861004354,3101.257417206,3065.68938009479,3713.42147983452,4082.30154723483,2228.8440870955,2875.9454640285,3200.26324987698,3065.53354743333,3086.29470261255,3253.46473967525,3088.67344089625,3156.81408994796,3167.06367443383,2833.6171940287,2953.55639559083,2512.52927640283,2206.37022204308,1942.25182615408,2651.38579320483
P07213,TOM70,23473.8878766229,22866.3854252297,23783.4343077677,25513.0239927712,25280.2447435694,26425.7164551167,36090.5762690092,37134.9292374474,34708.0052525864,38871.0786856618,44153.6699474987,46963.5047667529,28557.705349923,42836.8533443201,40039.3096498012,46171.3798474679,46914.0073363956,47590.4713904979,52435.5812044355,57715.8181808412,54207.8579392772,60006.1749159803,59413.9847629552,56046.0984182861,52217.8735588987,41978.0420116251,58481.4886868648
P32590,SSE2,42358.5128846286,43132.7483902223,44059.7238768826,40556.2248631216,36940.5741950081,40983.6494510617,23672.7099331856,23474.363594203,24177.1487353772,17461.321263576,16610.2145193455,17286.5026111666,5310.62462042006,4870.14214277236,4962.7008097064,2290.39491420346,2396.60500620099,2346.62854790157,2121.04055138542,1640.22712089836,2137.28297073767,971.769275606408,1209.11608847513,1376.77391036668,1218.62579824198,609.912619983291,3014.58244903163
P04801,THS1,35199.330051582,34557.5100086983,36532.9804754517,34225.1484930326,33829.5791596823,33003.1825540869,45205.678112538,43861.612782024,42136.6500347414,46372.4988494868,51059.2870467341,55678.0807795949,32868.3699724965,44727.4134902397,44194.702949277,47433.8204083441,48299.5257800131,50401.9720310393,48384.8910252223,50541.5309695991,51702.5631717818,52087.2603865492,52030.7663963121,51292.9502278371,46626.9103836358,38221.8652949419,58965.3347790987
P16474,KAR2,67551.7807486711,66717.3092727896,65235.0099310096,66139.5006192131,60506.7369229175,63078.0050401563,65629.3558529783,65976.6746343321,65339.2496081538,66788.9950884023,71132.7126384885,73262.651812266,38729.9968670561,52753.1897586412,50162.0017013021,47829.8709009509,49119.8133975442,48207.3295726447,49428.1432919839,54275.6315502166,49838.3181834433,57840.3348925121,56399.7754104011,55241.9652913487,52489.7518545872,41979.2501197215,64360.8270155402
P19414,ACO1,111208.870624303,108156.617403168,120966.30190811,123320.440258589,118213.49154932,117932.840356023,157535.197511178,163141.251328571,150848.972189619,166840.053792376,195761.072538614,196956.983078936,116419.134537808,172802.270651813,169484.267747285,199016.315025416,212134.702564226,220158.989103849,244925.258941944,289798.735105845,243882.414781749,271046.430465194,272900.952299089,249979.847181735,216344.512298925,167103.912055445,213544.608046875
P38088-2,GRS1,1542.64588355394,1507.19303147027,1620.9416171305,1613.54443630612,1665.05819116069,1719.88984478505,2284.7841298527,2305.7645281048,2142.70901370314,2462.08371882373,2725.97727508813,2855.87496831954,1734.66106340828,2556.14074944885,2429.30474005632,2651.60040826039,2757.57257089882,2728.71903042004,2815.71329224204,3013.60715969338,2860.76610628131,2985.17737068135,3087.34531580258,2944.29655650382,2662.99201804092,2195.34720935796,3159.47786267257
P02829,HSP82,70899.4469696934,71980.2508359459,70604.9940442644,60928.7914799321,52204.7788384773,54993.7340722619,37936.9580548349,36547.1634018963,38166.8387918649,29790.1663011626,31713.2523576292,35622.7856000378,15196.2788233582,19049.3942598321,20099.955515571,18893.760936437,17846.3447118252,18842.1211215247,21393.3690096559,19923.3308770098,20376.9238521836,20794.0594124064,19612.5249485114,21073.091207437,19022.4345488431,13694.7382297169,22881.5246025022
P03965,CPA2,34585.0663717098,33169.5919711325,36421.1110850948,51608.5402259133,52907.2481072084,55816.0498412151,74325.6874647245,80198.7978422296,76598.7562362677,64073.5243664349,70705.146058267,75215.3154440526,32859.8747370868,40276.9634914827,43322.925892423,28899.5287379929,28896.112344238,30971.7804072966,27023.7720978233,29789.0384964317,28334.3846482653,33513.7837227957,31841.4423688292,31807.5680130736,28614.4425495501,25974.7777002068,41330.6395360233
P22855,AMS1,19516.8174139547,13095.2879183407,15829.9212963141,15488.434623414,11645.1394217383,13117.9542627997,11166.5153391368,8922.64807491657,10788.6125313791,7729.20443558823,6351.4997411453,8712.53691197982,3061.17549579676,3324.80306052254,3978.02017836873,2379.57271826409,2170.89188820197,2325.61823693458,1735.12643503435,1451.46900019665,1905.67860396486,1003.3479828498,1341.06702125242,1279.76756673523,771.74261570877,577.761969680698,985.687566249552
P30624,FAA1,36192.5240261338,34023.8091104406,35006.5202173581,35898.7114452284,32288.1290708698,33703.6822513598,37304.4142132047,37104.9140543662,35880.5634136585,32127.707951343,36490.6763786391,40078.0794089659,20890.3542803483,26705.1707774026,25846.2692887997,21222.4468375227,22821.5308299967,20679.6456106299,13915.1094599241,11221.9850010288,13725.7194137789,13144.388603542,13059.9580405461,12835.5997006396,14365.7445511101,13108.5355281876,19608.3716034345
P32565,RPN2,13823.5210200442,14190.9993031143,13478.9356005904,14152.3422130989,13523.6142604086,13460.0060087738,14536.4196679662,14023.7144825528,13026.8787795672,12854.9720016144,15180.4911548452,16425.96656388,8126.2850939546,10810.3738418716,10898.7307550051,9918.83365360389,10442.2244662412,10347.2046636236,9963.75830139678,10390.8945461272,9773.35705521513,10406.6623217842,10553.1945253579,9139.10426124884,9007.7907335454,8313.02640726607,11529.6877034669
P04050,RPO21,5360.9662412811,5218.75685856787,5695.50200264495,6000.02715324716,5905.01172271879,5528.81932986791,7789.27836922579,8033.61038093887,6904.07632294902,7007.5451231973,8274.04908944752,9170.62515381718,4928.86381404802,6829.71368982305,7111.23960976497,6453.75894215663,6893.69469105431,7055.77193597853,6856.73527159185,7516.50222896673,7120.19929020969,7365.71609656596,7367.27086806511,7013.31027208437,6418.24105743918,5789.29405251647,7441.11553975715
P07264,LEU1,40071.0542476432,37574.4386343021,40102.7835244958,44419.7191471542,43274.4873511946,44741.8121671727,54946.4610914581,57345.0098338196,54597.6979796098,60260.9699225863,68669.9709804089,73366.8868178899,43890.1172880285,63863.1276892147,62978.4144928986,70339.7860716622,71323.2027511323,72708.0695478571,76476.5005222465,77010.0402172582,77942.0628982423,74123.2873006215,75140.4695636428,71444.4786989099,65585.8203518527,52381.2257321349,78444.6318430294
P21576,VPS1,22293.6309166972,21686.9752551223,23342.0118740335,22571.1487904961,22010.2432767692,21087.2610051024,23828.1275696902,23397.0435996517,22180.3786104286,22983.0226386437,25381.4807062009,26632.6480001814,15090.889036191,19793.499795292,19815.1226709086,18605.5296332193,18933.719010236,19902.7620729566,18834.80035727,18680.6534121479,18972.3425737007,16832.9577503313,17832.6345982671,16632.8441069645,15357.3597945721,12221.1730610108,17134.6333338101
