Majority protein IDs	0.027h-1	0.044h-1	0.102h-1	0.152h-1	0.214h-1	0.254h-1	0.284h-1	0.334h-1	0.379h-1
P19097	16.328315104065425	16.845039052173345	17.09356946460046	17.150965182074092	16.534767364508888	16.43393432216703	16.442208440788686	16.244482689777847	15.981715240506555
Q00955	16.311942867009204	16.352699217663105	16.07473818818493	15.963909003551336	15.409128016209607	15.502549902578536	15.713950016309902	15.600540476634034	15.355948513632121
P07259	15.272144410946533	15.362421408922481	15.639590505424957	15.73388581798388	15.274811189803437	15.375519263724113	15.50008574472063	15.6798946824777	15.571299344390379
P07149	16.10161393171578	16.590845292550988	16.84163287788735	16.888617722358845	16.255648127263154	16.159067085371863	16.157165785744603	15.966309107600328	15.688138829263986
P06105	13.94938944639526	14.060913468166916	14.451404810204123	14.680855498090834	14.300605211156283	14.583739134294081	14.69164211611408	14.901023884629172	14.82985005141645
P47169	14.359450188465482	14.85735750286127	15.404504131727935	15.620447357121115	15.273816790108606	15.546406125457166	15.698481411087567	15.7945162744591	15.722239450316692
Q05022	12.145623421536309	12.3076864205168	12.775157461500338	13.053748585120012	12.741006011332546	13.034349156484483	13.090607318223702	13.231425937122582	13.225031307648997
Q12680	13.113507190781394	13.391083835510706	13.996937884444598	14.228381140555461	13.847633740697008	13.90179066604819	13.964841336946492	13.83070444245775	13.618837841137086
P38249	14.123622585170462	14.259766818151743	14.644000614845664	14.917958920986232	14.61505403588424	14.886691130990439	14.978241689975421	15.02341329090618	14.91008095106393
P22147	12.01997595282226	12.1078085616288	12.506685158146057	12.562718980958024	12.235242401270778	12.33773635401529	12.4084493765061	12.430793632352778	12.307963767817865
P10964	12.363991512400673	12.57206545681034	12.946890299967684	13.14754626154239	12.825860466215609	13.039811534855994	13.159808797718682	13.194406084181054	13.20001640437557
Q03690	13.736829309766291	13.851602413228859	14.482067134542056	14.831688817846219	14.601766531425506	14.978605622677401	15.363316544234266	15.306362569242673	15.122002930202298
P05694	17.084709292606952	17.622080605596004	18.35423036319701	18.701139604816042	18.413331911381427	18.84656777725252	19.122577535944554	19.256145394242054	19.128784103717713
P31539	18.510977285783042	18.253981433303842	17.62015187186164	17.18877534486179	15.812214334981263	15.186842127988172	15.134330582174616	15.270932074228636	15.003538295943736
P32589	17.473165065920348	17.421788067605842	17.3264183382067	17.512434684329275	17.053446740734763	17.297895568715237	17.331123575121875	17.35440302547608	17.25525623335156
Q12019	9.211628669896287	9.317842349960866	9.597603590708484	9.408635853015834	8.985170559423011	9.243865406334741	9.308688214663592	9.225503330227241	8.90538628161765
P08566	13.70687853212133	13.925723265052715	14.17659607107684	14.309706566256219	13.755295090300853	13.838882610373238	14.07516765368715	14.129359598349103	14.00010807170403
P22137	14.200562051860798	14.198721380292373	14.241887516643418	14.29139708318477	13.791978182471398	13.834525331758881	13.806360614317313	13.730841476743144	13.430499955191292
P16521	16.1618347821208	16.522617459821106	17.347426003156937	17.72257108528097	17.4969615293398	17.8454917039302	18.018422863494166	18.285034163257425	18.250135360988793
P33416	16.1943529402847	16.00319306340133	15.596571241115415	15.343425295975432	14.580228385005388	14.512043966020222	14.472427045427986	14.343885111785632	13.920029209525222
P07806-2:P07806	14.521654158780633	14.722866980285325	15.141705019473228	15.290670134165644	14.880761774563823	15.03517261974239	15.214258803851967	15.348892216192132	15.279888066976259
P36775	12.872415655960882	12.832819586999339	13.11160365862289	13.292517946117172	13.00836033507341	13.261844896419742	13.510236202031567	13.53163333096862	13.302498979921072
P39692	13.16228761820078	13.830947553464096	14.644790047468655	14.964308169666936	14.661914885825427	14.938135719213994	15.100355582744134	15.157579004719775	15.119910330167459
P07702	13.323798982095056	13.606690502065533	13.972954952430488	14.001482514484666	13.37642282192831	13.388995261751733	13.53919814281314	13.89358061238151	13.99804209357555
P17255	15.30501769460128	15.298459530245179	15.589802329957326	15.767881992376568	15.424370124393985	15.627777176821565	15.615150319181755	15.835198068096956	15.743153584096742
P19524	10.823077341098605	10.904970826825123	11.364718076663385	11.428611877455792	11.056377783943535	11.285319732255143	11.293133556609293	11.311676299771488	11.184435765882444
P40825-2:P40825	14.130535368853275	14.386068260326958	14.816483435153874	15.042531263080338	14.707660099259247	14.939445336767555	15.038979243627534	15.175123864583677	15.041033354042478
P07245	14.738572750957411	15.031885359007793	15.590231988660445	15.831870252577922	15.444371641755755	15.682711798521673	15.771353292221631	15.886723349143887	15.889012116628324
P26637	14.24617961491754	14.326989224121569	14.710038182412365	14.873372321200316	14.535793335142682	14.786877828077344	14.897973983658579	15.141652994297662	15.138675728268495
