mRNA	0.027 h-1	0.044 h-1	0.102 h-1	0.152 h-1	0.214 h-1	0.254 h-1	0.284 h-1	0.334 h-1	0.379 h-1
R0010W	74.4431245644533	76.4332945891819	48.4583526065725	49.5498584507283	54.3716087113289	54.6876351803636	64.3714271267998	32.9189481715668	41.3887783999395
YLR155C	37.8446204041809	36.3321610851631	35.0915328622826	31.0965573857844	29.0667244805589	26.8187752749931	29.5927914313851	23.0290325658867	22.4318833785783
YLR159W	7.22387637802223	6.01615856224414	7.01401173920378	5.54286121276918	4.80011098220025	3.93408897716232	4.48513465640627	3.74315134936215	2.59646898723335
YHR056C	18.6468204981604	14.038290433294	14.1586586672355	14.7481751616417	15.3658707955737	13.5348692820521	13.6710228322973	14.3098813512087	13.9788571591201
R0030W	209.821451067573	223.130455637054	128.572630291662	122.79799903202	134.245756709993	119.268917959092	116.934733177867	37.1331089833251	49.1368676646265
YAL062W	30.1894639251021	16.7665471404232	9.00304112816781	7.81230812074403	9.91047157222149	10.0867122653667	9.50841872370929	4.13663705674655	2.86959577493482
YAL061W	14.8432815625353	16.3380641147047	18.6853475474958	14.5741950494964	9.89291852455057	5.71949098750562	4.83179590941447	3.68435898321154	2.86357069184366
YAL060W	28.3129872184598	28.3377527681365	25.5510902529948	26.4456446711634	32.7698703609831	40.5725179939003	38.9291209640206	31.9504757873161	30.8948547148596
YAL059W	10.2884032071023	9.49729951877472	10.2311463250939	10.7308202780889	9.75410974504051	10.3162909741354	9.89533112774847	9.4513804192506	12.4508208957153
YAL058W	5.0372151904838	4.73443853807436	5.19343380697485	5.28589713439411	5.25747154131061	5.23812509365345	5.30067799820849	5.2347422596386	5.57498727872046
YAL056W	5.84973321712204	5.95515677471899	6.49574751700885	5.7506123948962	5.31765013415097	4.55400546643659	4.19694924061674	5.21158010112709	4.98365697073598
YAL055W	11.170325574053	11.6387391325244	9.68936624722988	8.54441854468708	6.58737009498722	5.51873707633701	6.35752827738202	6.11916148122335	5.4248576232368
YAL054C	85.5912765617327	81.0534440953865	64.6928322848879	49.2558256090471	40.2668273401364	25.2309304974935	19.055020588281	2.25803347523232	1.59921462740545
YAL053W	12.8470784065647	14.6930444156954	18.6295826433267	17.1294320412267	12.8216279924337	10.9918997063077	11.3294693630743	9.60144400939594	9.15384429920071
YAL051W	4.4131673006199	4.19826925528898	4.03022198952317	3.75119517787529	3.9374640058502	3.47408470282382	3.37884952772281	4.0066749588896	3.94009107165529
YAL049C	26.6674208839003	25.0115651281052	19.2627188321931	17.4724185320727	14.9158825669216	14.4596742405944	14.9698129522326	13.8966648615271	13.6846185524813
YAL048C	4.32168400956224	4.13709564700288	4.58747419604496	4.04943606693834	3.72230737128043	3.83901262455318	3.63451894068646	3.58890661768836	3.43105909132634
YAL047C	3.67122450515412	3.47639688298023	3.09212701186444	3.23851582460525	2.86618294844343	3.19147131020513	3.3370481948524	2.96598514569696	2.85844887576969
YAL046C	16.0958206225342	15.0129473818946	16.0269804189638	16.3264199847141	18.522554931271	18.8784488228293	19.1801803699376	18.366991697341	16.8931409048029
YAL044W-A	28.3157547627089	27.7113558025739	22.9908095355347	21.730114008421	19.1569413139753	18.9567357111428	19.6657182419507	15.1826842607254	14.0478466612879
YAL044C	35.4273661972647	38.0710806806029	48.4217953049346	51.5639454513571	55.8424207331187	52.4378676401793	52.0873666142544	54.4486587777743	60.2040796219834
YAL043C	5.65316344449815	5.69917087943415	5.97254569630003	6.07355587048647	6.83011032566085	6.86630503290531	6.48005191651685	6.83572309036021	6.85255964791995
YAL042W	14.5196214171464	17.0163168044209	20.8714475618041	22.2264288891435	24.8839755703031	24.7981653668548	24.7237989351792	24.526196446295	27.2300791994251
YAL041W	4.63698604688375	4.9703147603515	5.64655408337422	5.96842886888186	6.11103499542214	6.6412280995103	5.9657344188477	6.92784396625734	6.61371607477124
YAL040C	5.66549204558298	5.87479692648775	5.02997170653321	5.7452201037934	6.40084094527093	7.4417479204419	9.56882769451902	10.3975118078641	9.48759726338256
YAL039C	17.0828017147285	16.4788743601114	14.6019281038158	13.262549342098	14.7498604311723	14.7016099459165	18.1619018998606	18.0141744912292	19.171209206181
YAL038W	130.67451807735	151.553389833273	137.793586599989	105.870125626923	59.0680078462566	41.3206844222265	37.9100810141367	37.1891788300255	48.6965518375861
YAL037W	5.1351615792756	4.52253556974735	3.34392701303857	3.53886903205343	3.46113085841342	2.93219304265757	2.31313658313687	2.7820204785243	3.14222153650549
YAL036C	7.70251131260517	8.06828448424988	7.74496606066913	8.7575218429691	9.28557775832338	10.6954926480273	10.9234403003457	11.0375384391474	11.5615303538073
YAL035W	10.9058848896399	11.4681114622585	13.4207839745361	15.0131011567819	18.5390501226332	19.8164216599936	18.6825689470539	21.9791441576955	22.8884870749778
YAL034W-A	4.46608925548173	4.40249914360896	4.39609988186122	4.77827406056822	4.75353038968756	4.98269529436876	4.82656599513079	3.95685479259757	3.81946774248313
YAL034C	16.5051394022949	16.2509401535181	13.6839437632835	10.4979618788305	5.43704418020788	3.21734860865424	3.35882021424653	3.21965598975323	2.87844004323429
YAL033W	9.71780572493752	8.84016935259317	8.3759875366331	8.86107112437381	8.06069881717403	9.41448827169126	11.0912970411535	10.8663785333225	15.2489018853798
YAL032C	7.51780590962128	7.41502928891105	7.08133680886079	6.89194333340252	6.77151443556969	6.62643147258122	6.58559943488219	5.20765223034789	5.16497905454494
YAL031C	3.63084187845407	4.00308177379624	4.65240138626423	4.5496606645751	4.55010968131859	4.48195000659003	4.4956585871891	4.61006498339949	4.64521053823839
YAL030W	32.3173337982152	31.8210091909843	29.4206672899338	25.2258533881134	17.4668606927384	13.7471934545939	13.1496129793502	11.9320365554297	11.3318305098708
YAL029C	2.5044518928933	2.33411004445932	2.82377884326209	3.68559895696268	4.85234421082004	5.71720515835722	6.12384090337124	6.21132535357678	6.52353271412695
YAL028W	3.34007123739611	3.38938505523539	2.46400422582593	2.04768808774756	1.3212793474309	1.18808878305791	1.27947578681868	1.21957464751216	1.11648960889467
YAL027W	10.3368862395899	10.3489573172331	8.14709795909969	6.83358590580059	6.57041320047918	6.38772804064266	6.75644081517694	5.60037263586749	5.30860488748868
YAL026C	3.33128047614528	3.34081533482677	3.8687615020662	4.12300980970002	4.38002176799963	4.09450104319427	4.23285514857149	4.64054347180575	4.86948852070734
YAL025C	8.94170023017424	9.96367075789833	12.0497868076732	14.3715492486792	16.9072850888001	18.6160336114094	21.2427321920772	21.143171697653	22.4308106738915
YAL024C	1.43061100098321	1.68579071005931	1.73113043136569	2.18117594029712	2.53507259724168	2.72388358112348	2.15864611849413	3.12725696621363	2.93577089270096
YAL023C	8.28110376753883	9.61290754206222	13.9887636973776	15.5560447105033	18.5681477652323	18.9748844493711	18.3776826891822	21.373777994039	22.8979258100908
YAL022C	6.5528198514925	6.40833002579195	6.52661248141005	7.03808827409972	7.77231331075295	8.01564894999078	7.58427749381002	6.93923370475577	7.33637659391158
YAL021C	7.48076348010046	7.9036913546693	8.12358412645476	8.40374366974139	9.53829008122496	8.95977980251594	9.42883401535425	8.03367770913346	8.70065067141365
YAL020C	8.33649663169081	6.47776546515679	6.37664806534802	5.59604742883724	5.62692683951711	5.19359929995311	5.40673652576273	5.41897706484424	6.81611776016713
YAL019W	2.91568592364309	3.30890714221142	3.7688020366255	4.30218491687055	5.2095811070278	5.96464807934782	5.68356485905405	7.20984226109435	7.49330802127842
YAL018C	4.7937589237378	2.37261701044373	0.39692022830799	0.408761210600074	0.478568942752804	0.919164834779775	1.80627240508676	0.848531048109878	0.451605618022771
YAL017W	5.36547853382029	5.54442206373544	5.81728058004392	5.15788711365989	4.67695714218255	3.89527293033402	3.88455862951499	4.72631932224109	4.35576136427405
YAL016W	16.002149141255	17.244732839518	16.4289119784951	14.9666761785623	12.6159195314911	11.8662439307776	10.7334046338892	9.89809902619686	9.2665368446175
YAL015C	7.72605572678438	7.70585460350971	7.33124382567055	7.18660184617712	7.10252841671476	6.47450379536649	7.27094741294325	6.40038412649699	6.25708656172586
YAL014C	11.1937000296294	10.2186195737674	9.24357105101872	8.81161907295234	8.57105725079733	7.80523747209228	8.15974517044828	7.93911894421039	8.92583293567651
YAL013W	8.9167878904305	8.26281187123683	8.50422166991736	8.26009092467228	9.43507908233674	8.37384923549968	8.91333100178748	8.12058417563675	8.61367515112847
YAL012W	15.6924367868067	20.7961190370886	21.6708463666374	26.1408382896723	35.5416573421209	35.6869961940478	36.3033774396724	37.1028444926456	41.7945752336546
YAL011W	4.04721324939363	4.28857392115511	4.39722347593486	4.19832774564807	4.45506749344608	4.73718052074011	4.60540511067677	4.350294704013	4.01560847873486
YAL010C	4.90504679947134	5.22420561898839	4.34942802839463	3.96802587596929	3.54517497436446	3.31360433078601	3.86349101813257	3.40098345642186	3.14105545504433
YAL009W	8.88860723227492	8.47252768343896	8.26899396783624	7.68103689720249	7.7438388078932	6.79159324368813	6.54458582969769	5.85479448064487	5.59543142683195
YAL008W	25.7335534571684	24.6913800453064	19.9502291104654	14.81464631298	11.0033916032064	7.80958939405113	7.79583700049959	7.54125377883316	6.94980293644319
YAL007C	9.30786543503724	10.3518940758239	13.2038084445669	15.7034696134063	17.9530999928187	21.8145065337931	23.5059186203555	22.4460562953571	21.4856480349135
YAL003W	82.0881817299596	86.0072875580755	89.0466472979152	91.4826102925011	96.3167122069057	105.384987778474	98.5316780919381	109.707658743906	116.231909199305
YAL002W	3.52416035007748	3.518222028345	3.39858947536481	3.36389095623555	3.29505130124526	3.1940324394203	3.37036086322513	3.69928772543681	3.42917177932012
YAL001C	4.15607248502185	4.24065847380023	4.55049255089676	4.32947955989894	4.34038037755183	4.08006375775489	3.75037804690249	4.32974743485388	3.96415658821754
YAR002W	5.54583699462339	6.13381490857366	6.13983109087289	6.97494119312967	6.96217131362716	7.84622388587427	8.51663089156026	8.46025551223385	9.23325337766873
YAR002C-A	26.499665481029	28.5794674730925	31.7320038472553	34.0571492230226	33.4333497231414	34.7235618142331	34.4196882995637	34.9026433125984	35.5396713610033
YAR003W	5.39029244333057	5.17838788029405	5.38858148219188	5.29210070335825	5.17583625679206	5.84710551178834	5.34784388500475	5.56397241236034	6.16295816153758
YAR007C	9.16987736316842	9.4088101774993	9.44655365398234	9.48116959120307	8.51486230988561	8.14810576715736	7.44175736142405	6.37391527328995	6.31152591793725
YAR008W	6.1297069171756	6.23329340288045	5.18630189821819	5.64436332218888	6.52220518378789	6.71067528122206	6.6332889683418	6.29508297788184	6.43566314852416
YAR014C	7.61567748048149	7.58862976824951	7.05361946957819	7.33705285681718	8.45110492085951	9.05625531358972	9.75513173980546	8.96049845634447	9.1748185676435
YAR015W	18.4697583240894	22.3445758027355	26.5645955000201	32.6509346924459	40.8058247384897	41.3322042993302	44.9061975404848	38.4674008839491	39.9235351847883
YAR018C	2.91036324649197	3.46258846902344	3.75816385637689	4.46532355039778	5.99250389424798	6.86807669115377	7.79173200283622	7.72456539148703	7.61137014033361
YAR019C	2.3596633192038	2.50518331262762	2.69933778854595	2.59944246276138	2.64444766578526	2.82697427173246	2.61631961436	2.87223491031042	2.71499431394893
YAR023C	4.3859784658238	4.19765993884813	3.16124191380409	2.85825982903557	2.4271565630896	1.97284505154112	1.55586419142694	1.64418840106534	1.70379436058379
YAR027W	13.0798667250624	13.8354728405284	13.6648980218515	12.4564796208459	9.40073232929527	8.03211628437283	7.29307503904202	6.80236202731216	6.95418665103079
YAR028W	1.7897897056458	2.43204235650723	2.26306449375942	2.34970207932743	2.55176844192455	3.0602511446464	3.29662044273781	3.58032682265304	3.15587133572775
YAR029W	1.69905421607881	1.22769382007424	1.10804934253517	1.34234150673942	2.00187228265034	1.90302995481517	2.16553890866201	2.43000366018422	2.03418431441254
YAR033W	4.08318353192631	3.93382337367244	3.23781835246393	3.24403112307924	3.49502764481992	3.47323149844323	3.3116540078712	3.29485402811002	3.05145230485322
YAR042W	4.87671525134054	4.67426035039429	5.21583979998596	4.84195988776241	5.67594549191213	5.7987959354519	5.79187604255851	6.70722593429232	6.89078570683865
YJL219W	5.09911468764214	4.11151821637225	2.50439934944822	1.9685820095024	1.75703175941149	1.70226560697591	1.88689871186034	1.73728751138186	1.66593979789754
YJL218W	2.09419195597349	1.98203009867628	1.66301794038547	1.46439342873584	1.80263289256065	2.35501607077427	3.27562350762285	4.14761645493626	4.47547041683005
YJL217W	24.2191451920786	22.816854691707	19.6553279760933	21.3764734750248	26.793703439549	32.8629687019477	37.6651616091408	22.4405304051099	18.7365822228156
YJL216C	8.96863574676253	6.97210599366417	4.15432968981683	3.5780173286185	4.59367468265334	5.41861091221674	5.70565095340032	2.67526689013484	1.73051832164533
YJL214W	3.22983611358833	2.21854971113336	1.50793099274937	1.37239268510909	1.65083811720967	2.1125176444694	2.16674976447711	2.05632705145703	1.83331446556238
YJL213W	2.59171341963319	2.41643003253507	3.47881338381095	5.34811956124373	9.50741390131117	13.2187480693263	14.0138896376989	11.8977331520817	13.2123037744395
YJL212C	2.93960165392039	2.81324215609447	2.37860143796647	1.98635093419754	1.90754047526388	1.99170747112308	2.01447575048949	2.44600345413694	3.08349166862957
YJL210W	16.0146047316008	17.1927807878919	17.2302703172156	15.345627681683	12.7338804258722	10.5269170626482	9.55464258684162	7.66766759213581	7.38574454309879
YJL209W	2.57144789172781	2.75784626742048	3.52176516882989	4.34691895064912	5.21054529779314	5.80762872807816	6.13764942996719	7.60391062666957	7.64697328269487
YJL208C	4.83810895862409	5.23760463628985	6.91847924682934	9.0078542535317	11.67641879876	14.054444863839	18.6957551092914	18.3998969816251	18.2879536207262
